Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
VNTG,Vantage Corp Class A Ordinary Shares,$0.62,-0.08,-11.429%,19677250.00,,2025,304007,Industrials,Integrated Freight & Logistics
VTAK,Catheter Precision Inc. Common Stock,$0.849,-0.126,-12.923%,2285910.00,,2018,741623,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$3.30,0.03,0.917%,1153346156.00,Canada,2024,3501264,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$2.24,0.02,0.901%,505418928.00,Canada,2011,1476414,Basic Materials,Metal Mining
WWR,Westwater Resources Inc. Common Stock,$0.505,0.003,0.598%,64199995.00,United States,,745988,Basic Materials,Metal Mining
WYY,WidePoint Corporation Common Stock,$17.50,0.71,4.229%,173025668.00,United States,,269743,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.7524,-0.0056,-0.739%,70024171.00,United States,,145765,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.421,-0.0049,-1.151%,59050706.00,United States,,32209,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.673,-0.027,-3.857%,7065099.00,United States,2017,122982,Consumer Discretionary,Package Goods/Cosmetics
ZDGE,Zedge Inc. Class B Common Stock ,$3.10,-0.02,-0.641%,40512756.00,,2016,122021,Technology,Computer Software: Prepackaged Software
ZONE,CleanCore Solutions Inc. Class B Common Stock,$0.82,0.0108,1.335%,183002563.00,,2024,1065251,Industrials,Industrial Machinery/Components
